symbol,timeframe,metric,count,mean,std,min,q25,median,q75,max,null_count
BTCUSDT,1h,base_volume,38736,2986.74993355204,4521.25690005373,55.66311,691.35814,1337.458385,3261.0790575,137207.1886,0
BTCUSDT,1h,candle_body_return,38736,3.20830497859619e-05,0.00618920031144415,-0.0895447028423771,-0.00219323294842261,3.62900885779727e-05,0.00234525018332216,0.12315860853223,0
BTCUSDT,1h,candle_range,38736,0.00816623566249255,0.00770120561689163,0.000179307071171531,0.00374829318767295,0.00602276744162555,0.00992539592831804,0.266666666666667,0
BTCUSDT,1h,close_price_usd,38736,55464.9467154585,30943.2402530274,15649.52,29128.1225,43811.95,82680.3675,126011.18,0
BTCUSDT,1h,close_to_close_return,38731,3.17949648448276e-05,0.00618972845199728,-0.0895447028423771,-0.00219408552738198,3.68665732437545e-05,0.00234586866740905,0.123158956621992,5
BTCUSDT,1h,context_age_hours,38736,35.5,6.92227590497951,24,29.75,35.5,41.25,47,0
BTCUSDT,1h,context_age_since_d1_hours,38736,11.5,6.92227590497951,0,5.75,11.5,17.25,23,0
BTCUSDT,1h,lower_wick_relative,38736,0.00223929182315048,0.00309692233581367,0,0.000604518216838733,0.00141321734380508,0.0028025960799644,0.148564678716558,0
BTCUSDT,1h,quote_volume,38736,106154347.065441,111716139.510166,3488263.125579,39005100.526473,71459017.3840224,132484209.098649,3005633669.26081,0
BTCUSDT,1h,taker_buy_share,38736,0.488467652798913,0.058059696396986,0.113136280280599,0.45766739359171,0.492014551405624,0.519783116014452,0.80858462556366,0
BTCUSDT,1h,trade_count,38736,119762.049049979,123012.940623038,8360,40931.25,75449,155020.75,3520247,0
BTCUSDT,1h,upper_wick_relative,38736,0.00206627357722844,0.00249445083400237,0,0.000565719463861385,0.00133489065007917,0.00267635185980527,0.0717154588767423,0
BTCUSDT,4h,base_volume,9684,11946.9997342082,16623.1393019253,340.57663,3072.50608,5754.00374,12979.04371,284711.694213,0
BTCUSDT,4h,candle_body_return,9684,0.000126127976915809,0.0121839649590321,-0.105283980517602,-0.00438947630698741,0.000160779305399594,0.00465572052485974,0.147489831514928,0
BTCUSDT,4h,candle_range,9684,0.0170122279557474,0.0146144609431481,0.000646028968593892,0.00807485547311226,0.0129326164003875,0.0211015175980291,0.309850333333333,0
BTCUSDT,4h,close_price_usd,9684,55464.712830442,30944.4982314746,15722.98,29113.4175,43781.335,82642.78,125410.81,0
BTCUSDT,4h,close_to_close_return,9679,0.000122540412608584,0.0121852759973988,-0.105283762953719,-0.00439957463129259,0.000158306118844154,0.00465517448533248,0.147490187145432,5
BTCUSDT,4h,context_age_hours,9684,34,6.8316532486417,24,28,34,40,44,0
BTCUSDT,4h,context_age_since_d1_hours,9684,10,6.8316532486417,0,4,10,16,20,0
BTCUSDT,4h,lower_wick_relative,9684,0.00477206573207034,0.00600470345481934,0,0.00149926104865177,0.00316393933676258,0.00599678861986278,0.189109043927648,0
BTCUSDT,4h,quote_volume,9684,424617388.261766,383636695.073425,20351720.8297947,174529919.981678,307577075.797725,540993562.961964,5457623882.23572,0
BTCUSDT,4h,taker_buy_share,0,,,,,,,,9684
BTCUSDT,4h,trade_count,9684,479048.196199917,447172.01973063,40087,176359.5,310748.5,633046.25,6089593,0
BTCUSDT,4h,upper_wick_relative,9684,0.00426882736855961,0.00470675992147252,0,0.00137563259724487,0.00293077700880393,0.00555629087457147,0.0697609804245898,0
ETHUSDT,1h,base_volume,38736,23660.723457944,27181.7135337433,909.8529,8839.6915,15207.70705,28134.2027475,508838.4049,0
