split,symbol,timeframe,context_variant,signal_id,holding_bars,signal_count,executable_signal_count,rejected_boundary_count,rejected_overlap_count
development,ETHUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,760,120,2,638
development,ETHUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,760,251,0,509
development,ETHUSDT,1h,primary_d1,momentum_return_12_positive,12,6583,750,16,5817
development,ETHUSDT,1h,primary_d1,momentum_return_12_positive,24,6583,446,23,6114
development,ETHUSDT,1h,primary_d1,momentum_return_12_positive,4,6583,1640,4,4939
development,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,161,156,0,5
development,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,161,147,2,12
development,ETHUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,161,158,0,3
development,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,649,289,6,354
development,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,649,225,7,417
development,ETHUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,649,394,2,253
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,2105,320,8,1777
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,2105,222,8,1875
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,2105,597,3,1505
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,760,158,2,600
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,760,120,2,638
development,ETHUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,760,251,0,509
development,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,6583,750,16,5817
development,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,6583,446,23,6114
development,ETHUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,6583,1640,4,4939
development,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,161,156,0,5
development,ETHUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,161,147,2,12
