split,symbol,timeframe,context_variant,signal_id,holding_bars,signal_count,executable_signal_count,rejected_boundary_count,rejected_overlap_count
validation,ETHUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,6,74,21,0,53
validation,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,1,1015,552,0,463
validation,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,3,1015,311,1,703
validation,ETHUSDT,4h,sensitivity_d2,momentum_return_12_positive,6,1015,197,0,818
validation,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,1,21,21,0,0
validation,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,3,21,21,0,0
validation,ETHUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,6,21,21,0,0
validation,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,12,356,157,0,199
validation,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,24,356,128,0,228
validation,SOLUSDT,1h,primary_d1,breakout_close_above_prior_high_20,4,356,215,0,141
validation,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,12,909,166,1,742
validation,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,24,909,127,2,780
validation,SOLUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,4,909,284,1,624
validation,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,12,246,67,0,179
validation,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,246,57,0,189
validation,SOLUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,246,97,0,149
validation,SOLUSDT,1h,primary_d1,momentum_return_12_positive,12,4097,461,3,3633
validation,SOLUSDT,1h,primary_d1,momentum_return_12_positive,24,4097,279,16,3802
validation,SOLUSDT,1h,primary_d1,momentum_return_12_positive,4,4097,1026,0,3071
validation,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,92,91,0,1
validation,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,92,88,0,4
validation,SOLUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,92,92,0,0
validation,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,356,157,0,199
validation,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,356,128,0,228
validation,SOLUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,356,215,0,141
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,909,166,1,742
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,909,127,2,780
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,909,284,1,624
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,246,67,0,179
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,246,57,0,189
validation,SOLUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,246,97,0,149
validation,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,4097,461,3,3633
validation,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,4097,279,16,3802
validation,SOLUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,4097,1026,0,3071
validation,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,92,91,0,1
validation,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,92,88,0,4
validation,SOLUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,92,92,0,0
validation,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,109,84,0,25
validation,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,109,71,0,38
validation,SOLUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,109,55,0,54
validation,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,480,271,2,207
validation,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,480,157,1,322
validation,SOLUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,480,99,4,377
validation,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,53,35,0,18
validation,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,53,24,0,29
validation,SOLUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,53,18,0,35
validation,SOLUSDT,4h,primary_d1,momentum_return_12_positive,1,1060,567,0,493
validation,SOLUSDT,4h,primary_d1,momentum_return_12_positive,3,1060,309,0,751
validation,SOLUSDT,4h,primary_d1,momentum_return_12_positive,6,1060,195,1,864
validation,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,23,23,0,0
validation,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,23,23,0,0
validation,SOLUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,23,22,0,1
validation,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,109,84,0,25
validation,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,3,109,71,0,38
validation,SOLUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,6,109,55,0,54
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,1,480,271,2,207
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,3,480,157,1,322
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,6,480,99,4,377
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,1,53,35,0,18
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,3,53,24,0,29
validation,SOLUSDT,4h,sensitivity_d2,mean_reversion_rsi14_below_30,6,53,18,0,35
validation,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,1,1060,567,0,493
validation,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,3,1060,309,0,751
validation,SOLUSDT,4h,sensitivity_d2,momentum_return_12_positive,6,1060,195,1,864
validation,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,1,23,23,0,0
validation,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,3,23,23,0,0
validation,SOLUSDT,4h,sensitivity_d2,trend_sma20_cross_above_sma50,6,23,22,0,1
