split,symbol,timeframe,strategy_type,strategy_id,holding_bars,cost_scenario,d1_trade_count,d2_trade_count,trade_count_delta,d1_average_net_return,d2_average_net_return,average_net_return_delta
development,BTCUSDT,1h,signal,momentum_return_12_positive,24,high_50bps,440,440,0,-0.0070932580122501096,-0.0070932580122501096,0
development,BTCUSDT,1h,signal,momentum_return_12_positive,24,low_20bps,440,440,0,-0.0041100624958136794,-0.0041100624958136794,0
development,BTCUSDT,1h,signal,momentum_return_12_positive,4,base_30bps,1640,1640,0,-0.0033197683318886358,-0.0033197683318886358,0
development,BTCUSDT,1h,signal,momentum_return_12_positive,4,high_50bps,1640,1640,0,-0.0053111389181666364,-0.0053111389181666364,0
development,BTCUSDT,1h,signal,momentum_return_12_positive,4,low_20bps,1640,1640,0,-0.0023225890119709064,-0.0023225890119709064,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,12,base_30bps,147,147,0,-0.0015797781509466237,-0.0015797781509466237,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,12,high_50bps,147,147,0,-0.0035746252436874202,-0.0035746252436874202,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,12,low_20bps,147,147,0,-0.00058085796954676411,-0.00058085796954676411,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,24,base_30bps,143,143,0,-0.0021412493488194226,-0.0021412493488194226,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,24,high_50bps,143,143,0,-0.0041349746201445273,-0.0041349746201445273,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,24,low_20bps,143,143,0,-0.0011428909197744909,-0.0011428909197744909,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,4,base_30bps,153,153,0,-0.0014638689192520778,-0.0014638689192520778,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,4,high_50bps,153,153,0,-0.0034589475990428973,-0.0034589475990428973,0
development,BTCUSDT,1h,signal,trend_sma20_cross_above_sma50,4,low_20bps,153,153,0,-0.00046483277057889554,-0.00046483277057889554,0
development,BTCUSDT,4h,baseline,always_flat,,base_30bps,0,0,0,,,
development,BTCUSDT,4h,baseline,always_flat,,high_50bps,0,0,0,,,
development,BTCUSDT,4h,baseline,always_flat,,low_20bps,0,0,0,,,
development,BTCUSDT,4h,baseline,periodic_entry_baseline,1,base_30bps,82,82,0,-0.0050301414942385773,-0.0050301414942385773,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,1,high_50bps,82,82,0,-0.0070180947489604257,-0.0070180947489604257,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,1,low_20bps,82,82,0,-0.0040346734039536439,-0.0040346734039536439,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,3,base_30bps,82,82,0,-0.0033018732872243037,-0.0033018732872243037,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,3,high_50bps,82,82,0,-0.0052932796278640643,-0.0052932796278640643,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,3,low_20bps,82,82,0,-0.0023046760633009741,-0.0023046760633009741,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,6,base_30bps,82,82,0,-0.0022070144565537017,-0.0022070144565537017,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,6,high_50bps,82,82,0,-0.0042006083289636825,-0.0042006083289636825,0
development,BTCUSDT,4h,baseline,periodic_entry_baseline,6,low_20bps,82,82,0,-0.0012087218255484365,-0.0012087218255484365,0
development,BTCUSDT,4h,baseline,segment_buy_and_hold,,base_30bps,4,4,0,-0.12168306518991484,-0.12168306518991484,0
development,BTCUSDT,4h,baseline,segment_buy_and_hold,,high_50bps,4,4,0,-0.12343794549538983,-0.12343794549538983,0
development,BTCUSDT,4h,baseline,segment_buy_and_hold,,low_20bps,4,4,0,-0.1208043084373501,-0.1208043084373501,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,1,base_30bps,98,98,0,-0.0029587641694148138,-0.0029587641694148138,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,1,high_50bps,98,98,0,-0.0049508560432711375,-0.0049508560432711375,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,1,low_20bps,98,98,0,-0.0019612236645615479,-0.0019612236645615479,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,3,base_30bps,83,83,0,-0.0071672512780785475,-0.0071672512780785475,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,3,high_50bps,83,83,0,-0.0091509345799830593,-0.0091509345799830593,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,3,low_20bps,83,83,0,-0.0061739213677364947,-0.0061739213677364947,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,6,base_30bps,65,65,0,-0.0054915527242999033,-0.0054915527242999033,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,6,high_50bps,65,65,0,-0.0074785840777714611,-0.0074785840777714611,0
development,BTCUSDT,4h,signal,breakout_close_above_prior_high_20,6,low_20bps,65,65,0,-0.0044965462762969746,-0.0044965462762969746,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,1,base_30bps,472,472,0,-0.0033849247064747976,-0.0033849247064747976,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,1,high_50bps,472,472,0,-0.0053761651100886565,-0.0053761651100886565,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,1,low_20bps,472,472,0,-0.0023878105755587502,-0.0023878105755587502,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,3,base_30bps,271,271,0,-0.0042912640933632012,-0.0042912640933632012,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,3,high_50bps,271,271,0,-0.0062806936277143739,-0.0062806936277143739,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,3,low_20bps,271,271,0,-0.0032950567556840555,-0.0032950567556840555,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,6,base_30bps,178,178,0,-0.006383983921758216,-0.006383983921758216,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,6,high_50bps,178,178,0,-0.0083692321945781894,-0.0083692321945781894,0
development,BTCUSDT,4h,signal,mean_reversion_close_2pct_below_sma20,6,low_20bps,178,178,0,-0.0053898703518382449,-0.0053898703518382449,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,1,base_30bps,129,129,0,-0.0019590195198384923,-0.0019590195198384923,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,1,high_50bps,129,129,0,-0.0039531088869987976,-0.0039531088869987976,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,1,low_20bps,129,129,0,-0.0009604787697129021,-0.0009604787697129021,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,3,base_30bps,87,87,0,-0.0036176275130830951,-0.0036176275130830951,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,3,high_50bps,87,87,0,-0.0056084029756760488,-0.0056084029756760488,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,3,low_20bps,87,87,0,-0.002620746201499739,-0.002620746201499739,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,6,base_30bps,62,62,0,-0.002777740616493204,-0.002777740616493204,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,6,high_50bps,62,62,0,-0.0047701941760409502,-0.0047701941760409502,0
development,BTCUSDT,4h,signal,mean_reversion_rsi14_below_30,6,low_20bps,62,62,0,-0.0017800189974393657,-0.0017800189974393657,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,1,base_30bps,826,826,0,-0.0034137987785709729,-0.0034137987785709729,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,1,high_50bps,826,826,0,-0.0054049814916878611,-0.0054049814916878611,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,1,low_20bps,826,826,0,-0.0024167135361857317,-0.0024167135361857317,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,3,base_30bps,459,459,0,-0.0044571086456092791,-0.0044571086456092791,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,3,high_50bps,459,459,0,-0.0064462068219654492,-0.0064462068219654492,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,3,low_20bps,459,459,0,-0.0034610672355291383,-0.0034610672355291383,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,6,base_30bps,293,293,0,-0.0028459947290774752,-0.0028459947290774752,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,6,high_50bps,293,293,0,-0.0048383119166697285,-0.0048383119166697285,0
development,BTCUSDT,4h,signal,momentum_return_12_positive,6,low_20bps,293,293,0,-0.001848341398314501,-0.001848341398314501,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,1,base_30bps,38,38,0,-0.0042174075532833439,-0.0042174075532833439,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,1,high_50bps,38,38,0,-0.0062069846532597272,-0.0062069846532597272,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,1,low_20bps,38,38,0,-0.0032211263220804161,-0.0032211263220804161,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,3,base_30bps,38,38,0,-0.0034572193866263009,-0.0034572193866263009,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,3,high_50bps,38,38,0,-0.0054483153452165207,-0.0054483153452165207,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,3,low_20bps,38,38,0,-0.0024601775865920341,-0.0024601775865920341,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,6,base_30bps,38,38,0,-0.0085389884360803896,-0.0085389884360803896,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,6,high_50bps,38,38,0,-0.010519931002349004,-0.010519931002349004,0
development,BTCUSDT,4h,signal,trend_sma20_cross_above_sma50,6,low_20bps,38,38,0,-0.0075470309497945864,-0.0075470309497945864,0
development,ETHUSDT,1h,baseline,always_flat,,base_30bps,0,0,0,,,
development,ETHUSDT,1h,baseline,always_flat,,high_50bps,0,0,0,,,
development,ETHUSDT,1h,baseline,always_flat,,low_20bps,0,0,0,,,
development,ETHUSDT,1h,baseline,periodic_entry_baseline,12,base_30bps,82,82,0,-0.0037087879423695867,-0.0037087879423695867,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,12,high_50bps,82,82,0,-0.005699381266106222,-0.005699381266106222,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,12,low_20bps,82,82,0,-0.002711997836864139,-0.002711997836864139,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,24,base_30bps,82,82,0,0.0020979119595234252,0.0020979119595234252,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,24,high_50bps,82,82,0,9.5716829088364792e-05,9.5716829088364792e-05,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,24,low_20bps,82,82,0,0.0031005116726393598,0.0031005116726393598,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,4,base_30bps,82,82,0,-0.0068356484001562551,-0.0068356484001562551,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,4,high_50bps,82,82,0,-0.0088199942457698501,-0.0088199942457698501,0
development,ETHUSDT,1h,baseline,periodic_entry_baseline,4,low_20bps,82,82,0,-0.0058419867208859295,-0.0058419867208859295,0
development,ETHUSDT,1h,baseline,segment_buy_and_hold,,base_30bps,4,4,0,0.13935811746088395,0.13935811746088395,0
development,ETHUSDT,1h,baseline,segment_buy_and_hold,,high_50bps,4,4,0,0.13708167596013163,0.13708167596013163,0
development,ETHUSDT,1h,baseline,segment_buy_and_hold,,low_20bps,4,4,0,0.14049804611263503,0.14049804611263503,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,12,base_30bps,289,289,0,-0.0034883152554028426,-0.0034883152554028426,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,12,high_50bps,289,289,0,-0.0054793490843385861,-0.0054793490843385861,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,12,low_20bps,289,289,0,-0.0024913045668086007,-0.0024913045668086007,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,24,base_30bps,225,225,0,-0.0035666812061235869,-0.0035666812061235869,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,24,high_50bps,225,225,0,-0.0055575584596159128,-0.0055575584596159128,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,24,low_20bps,225,225,0,-0.0025697489227218709,-0.0025697489227218709,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,4,base_30bps,394,394,0,-0.0030496173033776829,-0.0030496173033776829,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,4,high_50bps,394,394,0,-0.0050415276523548313,-0.0050415276523548313,0
development,ETHUSDT,1h,signal,breakout_close_above_prior_high_20,4,low_20bps,394,394,0,-0.0020521676971531435,-0.0020521676971531435,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,base_30bps,320,320,0,-0.0056389732005817528,-0.0056389732005817528,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,high_50bps,320,320,0,-0.0076257100074264544,-0.0076257100074264544,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,low_20bps,320,320,0,-0.0046441142468760027,-0.0046441142468760027,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,24,base_30bps,222,222,0,-0.0052756324831434703,-0.0052756324831434703,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,24,high_50bps,222,222,0,-0.0072630952460115052,-0.0072630952460115052,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,24,low_20bps,222,222,0,-0.0042804100067772039,-0.0042804100067772039,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,4,base_30bps,597,597,0,-0.0023735718007950489,-0.0023735718007950489,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,4,high_50bps,597,597,0,-0.0043668328910491279,-0.0043668328910491279,0
development,ETHUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,4,low_20bps,597,597,0,-0.0013754458105377208,-0.0013754458105377208,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,12,base_30bps,158,158,0,-0.0021450763215358961,-0.0021450763215358961,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,12,high_50bps,158,158,0,-0.0041387939465561355,-0.0041387939465561355,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,12,low_20bps,158,158,0,-0.0011467217213800432,-0.0011467217213800432,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,24,base_30bps,120,120,0,-0.0022753940277420522,-0.0022753940277420522,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,24,high_50bps,120,120,0,-0.0042688512775298348,-0.0042688512775298348,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,24,low_20bps,120,120,0,-0.001277169810549078,-0.001277169810549078,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,4,base_30bps,251,251,0,-0.0024828263827776208,-0.0024828263827776208,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,4,high_50bps,251,251,0,-0.0044758691819950635,-0.0044758691819950635,0
development,ETHUSDT,1h,signal,mean_reversion_rsi14_below_30,4,low_20bps,251,251,0,-0.0014848097018115738,-0.0014848097018115738,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,12,base_30bps,750,750,0,-0.0016835047648766431,-0.0016835047648766431,0
development,ETHUSDT,1h,signal,momentum_return_12_positive,12,high_50bps,750,750,0,-0.0036781446114802947,-0.0036781446114802947,0
