split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,12,high_50bps,1737,809,928,809,0.35970333745364647,-0.0013174902902172506,-0.0026355421686746761,-0.0062984429855985589,-0.0076099210490617741,,0.035304960604066904,,0.61190843356487779,DEFINED,0.0049809526953813084,9708,4,-0.0095062616817381193,-0.0022392043354790545,0.0031797033967845955,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,12,low_20bps,1737,809,928,809,0.4042027194066749,-0.0013174902902172506,-0.0026355421686746761,-0.0033128594416428833,-0.004628277850471485,,0.035411034614573844,,0.76999825863841131,DEFINED,0.0019953691514256328,9708,4,-0.0065303160523490318,0.00075857522047765593,0.0061937641003730398,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,24,base_30bps,1737,634,1103,634,0.43217665615141954,-0.001963959036254668,-0.0061371670424169023,-0.0049535812310424086,-0.0091142883707363009,,0.051232616279725966,,0.76891880813684355,DEFINED,0.002989622194787741,15216,4,-0.012659103959880975,-0.0037099334044988414,0.025752287772551091,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,24,high_50bps,1737,634,1103,634,0.41798107255520506,-0.001963959036254668,-0.0061371670424169023,-0.006941687453437706,-0.011094081485724716,,0.051130253333340675,,0.69210375503141697,DEFINED,0.004977728417183038,15216,4,-0.014631814520933208,-0.0057005244395981368,0.023702831116569407,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,24,low_20bps,1737,634,1103,634,0.43375394321766564,-0.001963959036254668,-0.0061371670424169023,-0.0039580365421566658,-0.0081229064724670508,,0.051283874550770346,,0.81052948491409538,DEFINED,0.0019940775059019973,15216,4,-0.011671268652269407,-0.002713144445029124,0.026778553706423534,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,4,base_30bps,1737,1069,668,1069,0.35453695042095418,-0.0010523376280903995,-0.0020957885680248367,-0.0040446905895871856,-0.0050850158667589129,,0.024526383294377851,,0.60362833739527044,DEFINED,0.0029923529614967856,4276,4,-0.0055025388842736434,-0.0024293907455646439,0.0017387018802586692,0.25,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,4,high_50bps,1737,1069,668,1069,0.3124415341440599,-0.0010523376280903995,-0.0020957885680248367,-0.0060346127786606897,-0.0070728594822926372,,0.024477379494835784,,0.47600403354349957,DEFINED,0.004982275150570291,4276,4,-0.0074895482873591724,-0.0044225403093719994,-0.00026277554718256145,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,breakout_close_above_prior_high_20,4,low_20bps,1737,1069,668,1069,0.37792329279700654,-0.0010523376280903995,-0.0020957885680248367,-0.0030482365549324261,-0.0040896026783246997,,0.024550921959274011,,0.68184486925644039,DEFINED,0.0019958989268420262,4276,4,-0.0045075434279320137,-0.001431320602203456,0.0027409422034206593,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,12,base_30bps,6527,986,5541,986,0.44827586206896552,-0.0013755419843715833,-0.00027772496837419336,-0.0043669267855241216,-0.0032723982861554979,,0.050919626058009822,,0.77151247232312126,DEFINED,0.0029913848011525381,11832,4,-0.0070718458834145596,-0.0022785663444965468,0.016729325397508786,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,signal,mean_reversion_close_2pct_below_sma20,12,high_50bps,6527,986,5541,986,0.43002028397565922,-0.0013755419843715833,-0.00027772496837419336,-0.0063562051455519257,-0.0052638635179503845,,0.050817888467181424,,0.68530682784641062,DEFINED,0.0049806631611803423,11832,4,-0.0090557198056310552,-0.0042720172559843643,0.014697896651887738,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
